key_size,key_generation_time,encrypt_time,sign_sha1_time,decrypt_time,verify_time
1624,672707,0,17542,2269,0
1624,330988,0,13935,3259,0
1624,830663,0,3938,7785,3001
1624,453993,0,6165,10498,994
1674,443674,995,1519,7423,0
1674,459347,601,6013,5856,0
1674,1105365,0,15624,0,0
1674,261871,998,4920,0,0
1674,2066066,0,13353,1309,0
1674,1541304,0,10087,3304,0
1674,2545763,0,15632,5127,0
1674,430265,0,15245,9662,0
1674,1342424,0,14997,5021,0
1674,849553,0,10067,4837,0
1724,330274,0,11213,4306,0
1724,765254,0,16998,1666,0
1724,1046244,0,16751,1051,0
1724,299287,0,1208,7698,2877
1724,1449814,6740,22712,4148,995
1724,1378413,0,5588,8962,0
1724,542668,0,21501,6339,997
1724,209730,0,11694,1818,0
1724,326430,0,16371,6440,0
1724,1645412,0,3560,8506,0
1774,211987,0,995,8473,0
1774,1169948,0,12155,2942,0
1774,332311,0,4578,6691,4687
1774,567049,0,18899,1429,0
1774,1548151,0,5293,9315,0
1774,507394,0,35866,43720,0
1774,699532,0,103502,994,0
1774,628394,0,17871,0,0
1774,929265,0,1332,7220,0
1774,493250,0,12479,6448,0
1824,313374,0,12001,4263,2942
1824,209668,0,16955,4120,2335
1824,122784,0,874,7359,2600
1824,396722,0,11431,0,0
1824,965521,0,15730,1577,0
1824,350959,0,12098,3441,0
1824,1380407,0,6041,10115,0
1824,1070849,0,5671,8517,0
1824,226498,1000,6913,2985,0
1824,493772,0,15772,3790,0
1874,295035,326,3332,4458,2473
1874,2184156,998,10644,3865,0
1874,3437714,2988,19829,6987,4943
1874,380448,0,29687,7687,994
1874,745568,0,17998,15441,733
1874,735923,0,15053,15028,0
1874,1464888,0,3583,11475,0
1874,182752,0,2768,7149,0
1874,887557,0,16454,7421,0
1874,508983,0,16980,3007,0
1924,527449,0,16876,7636,0
1924,591896,0,14506,8145,999
1924,195720,1330,0,8001,0
1924,1112000,0,10911,2120,1232
1924,1016150,0,16047,1831,2296
1924,212842,0,4896,9860,0
1924,766314,1303,1993,5867,0
1924,696777,0,12563,8748,0
1924,273440,0,9704,10239,0
1924,93338,0,2951,9692,0
1974,226742,0,13805,4070,0
1974,693997,0,15698,1165,2281
1974,998790,0,2916,9298,1001
1974,538349,0,4509,6673,2314
1974,402382,0,15535,1640,2734
1974,261634,0,1808,6522,2335
1974,192906,0,12308,1722,2151
1974,601090,0,13480,5428,2467
1974,194824,0,12057,3049,2175
1974,931651,0,4109,13468,0
2024,379773,0,6080,9221,0
2024,1653756,0,3407,6852,0
2024,2324760,0,2736,7310,2292
2024,471001,0,6011,8168,0
2024,369296,0,5095,16326,0
2024,879647,999,9399,0,0
2024,294425,0,8507,1841,3024
2024,829816,0,4005,10416,324
2024,767397,0,3262,12074,995
2024,440305,8890,21957,1942,0
2074,341050,0,13618,1258,3015
2074,862289,0,15757,1729,0
2074,881295,0,16509,3542,0
2074,100505,0,15160,5670,996
2074,441616,0,9498,3346,1023
2074,526688,995,1410,7652,2934
2074,289618,0,16784,1882,2893
2074,244554,0,12019,3540,0
2074,2730775,0,11374,2958,0
2074,867010,0,7994,3485,0
2124,1369818,0,7819,3674,0
2124,962907,10213,4150,8983,0
2124,1582260,0,11596,7202,0
2124,196683,0,13164,997,0
2124,377332,0,8630,8077,0
2124,428015,0,8725,0,0
2124,1216656,997,9683,10374,0
2124,2968698,1000,14264,4410,0
2124,718750,0,22261,4157,0
2124,451492,0,15248,4153,0
2174,314901,0,15426,7851,0
2174,391070,0,16810,996,0
2174,535614,0,10616,0,0
2174,718325,0,16672,7778,0
2174,509489,0,9120,4594,0
2174,1186131,0,1635,7247,0
2174,1546840,950,18730,6249,0
2174,1152761,0,12351,2985,2515
2174,786093,997,14101,4987,0
2174,155058,0,3027,10454,0
2224,402563,0,2491,6291,0
2224,724421,0,1274,5902,2235
2224,1823315,2704,26480,54275,996
2224,262700,0,4631,8171,0
2224,1275115,0,13161,2897,0
2224,644823,0,12290,3371,997
2224,251859,0,16819,4919,0
2224,208735,1204,125913,6055,999
2224,1038958,0,8072,5239,0
2224,213703,0,2156,9939,0
2274,291905,0,1993,6437,2287
2274,792274,0,8028,3003,995
2274,220933,0,2026,8456,0
2274,455659,3201,79331,0,0
2274,305050,0,843,6929,0
2274,1073706,0,15020,3333,366
2274,231386,0,14743,3868,0
2274,597890,0,18852,1000,0
2274,914389,0,15718,4407,0
2274,96742,0,3775,9464,0
2324,438116,0,12794,5863,2490
2324,163306,0,11867,998,3382
2324,688956,0,6472,7268,548
2324,668756,998,10254,2872,0
2324,129493,0,20226,0,0
2324,760332,0,11983,7161,0
2324,1412768,998,11996,1992,0
2324,893126,0,10755,12368,0
2324,687508,0,13869,5828,0
2324,1295041,348,4639,6004,995
2374,406061,0,20234,3436,0
2374,548969,0,3203,8014,251
2374,1178135,1026,1031,7936,0
2374,404394,0,0,9194,1274
2374,1145303,4003,18551,13987,0
2374,2259511,12140,11859,9354,997
2374,1318421,0,13885,3105,998
2374,159324,962,9120,2934,0
2374,261398,0,9915,2555,0
