Iteration,TimeRegisterVoter (ms),Gas (Unit),Gas Cost (USD)
108,916.4943339824677, 1066604, 1.69377781804
109,902.366250038147, 1069594, 1.6985259679400002
110,937.2112500071526, 1066581, 1.69374129381
111,916.1795830130577, 1066558, 1.69370476958
112,911.4565420150757, 1063545, 1.6889200954499999
113,914.5154579877853, 1072630, 1.7033471663
114,949.4603329896927, 1069617, 1.6985624921699998
115,904.1175409555435, 1069594, 1.6985259679400002
116,921.7508329749107, 1066581, 1.69374129381
117,916.2867079973221, 1069571, 1.69848944371
118,990.1929579973221, 1066558, 1.69370476958
119,933.2952089905739, 1066535, 1.69366824535
120,937.8947909474373, 1063522, 1.6888835712199999
121,936.3893330097198, 1069548, 1.69845291948
122,949.147166967392, 1066535, 1.69366824535
123,910.0304170250893, 1066512, 1.6936317211199998
124,926.5372920036316, 1063499, 1.68884704699
125,907.9023330211639, 1066477, 1.6935761407699998
126,950.0566670298576, 1063464, 1.6887914666400001
127,954.4622079730034, 1063441, 1.6887549424100001
128,891.6280829906464, 1060440, 1.6839893244
129,918.8624169826508, 1078840, 1.7132087083999998
130,984.3684160113335, 1075827, 1.70842403427
131,922.5755000114441, 1075804, 1.7083875100400001
132,918.8574160337448, 1072791, 1.70360283591
133,1041.590458035469, 1075769, 1.7083319296900001
134,1096.8688750267029, 1072756, 1.70354725556
135,1020.2173750400543, 1072745, 1.70352978745
136,947.426541030407, 1069732, 1.6987451133200002
137,914.7974999547005, 1075746, 1.7082954054600001
138,964.2523750066757, 1072745, 1.70352978745
139,914.2560830116272, 1072722, 1.70349326322
140,932.0696670413017, 1069709, 1.69870858909
141,965.8853330016136, 1072699, 1.7034567389900002
142,926.2811250090599, 1069686, 1.69867206486
143,926.2072499990463, 1069663, 1.69863554063
144,926.015625, 1066650, 1.6938508664999998
145,908.1513749957085, 1075735, 1.7082779373499999
146,947.9426249861717, 1072722, 1.70349326322
147,911.007541000843, 1072699, 1.7034567389900002
148,907.182707965374, 1069686, 1.69867206486
149,918.9752089977264, 1072676, 1.7034202147600002
150,933.8093749880791, 1069663, 1.69863554063
151,922.3264580368996, 1069640, 1.6985990164
152,928.7559159994125, 1066627, 1.6938143422699998
153,926.0487920045853, 1072653, 1.70338369053
154,935.9606249928474, 1069640, 1.6985990164
155,966.3785839676857, 1069617, 1.6985624921699998
156,964.4539169669151, 1066604, 1.69377781804
157,966.8917919993401, 1069582, 1.6985069118199998
158,926.9836249947548, 1066581, 1.69374129381
159,933.0990000367165, 1066558, 1.69370476958
160,941.1508749723434, 1063545, 1.6889200954499999
161,937.2434169650078, 1075712, 1.7082414131199999
162,934.1314170360565, 1072699, 1.7034567389900002
163,937.5879999995232, 1072676, 1.7034202147600002
164,940.4684169888496, 1069663, 1.69863554063
165,929.7477919459343, 1072653, 1.70338369053
166,940.7825000286102, 1069640, 1.6985990164
167,935.4313749670982, 1069617, 1.6985624921699998
168,933.7522910237312, 1066604, 1.69377781804
169,947.8516669869423, 1072618, 1.70332811018
170,951.9470829963684, 1069617, 1.6985624921699998
171,927.5482919812202, 1069594, 1.6985259679400002
172,958.5295829772949, 1066581, 1.69374129381
173,941.2361660003662, 1069559, 1.6984703875900002
174,956.0998750329018, 1066558, 1.69370476958
175,965.2031660079956, 1066535, 1.69366824535
176,956.1184169650078, 1063522, 1.6888835712199999
177,962.7389169931412, 1072607, 1.70331064207
178,890.5630410313606, 1069594, 1.6985259679400002
179,917.6625000238419, 1069571, 1.69848944371
180,982.6389999985695, 1066558, 1.69370476958
181,919.2035830020905, 1069548, 1.69845291948
182,903.630999982357, 1066535, 1.69366824535
183,925.8897089958191, 1066512, 1.6936317211199998
184,963.7618339657784, 1063499, 1.68884704699
185,931.1985000371933, 1069525, 1.69841639525
186,921.0647500157356, 1066512, 1.6936317211199998
187,921.2557500004768, 1066489, 1.6935951968899998
188,934.7974579930305, 1063476, 1.68881052276
189,923.3751659989357, 1066466, 1.69355867266
190,896.8282089829445, 1063441, 1.6887549424100001
191,932.4321249723434, 1063430, 1.6887374742999999
192,964.8858749866486, 1060417, 1.68395280017
193,918.9578750133514, 1075677, 1.70818583277
194,940.3993330001831, 1072676, 1.7034202147600002
195,937.4890000224113, 1072641, 1.70336463441
196,947.8310829997063, 1069640, 1.6985990164
197,932.3433749675751, 1072630, 1.7033471663
198,918.993499994278, 1069617, 1.6985624921699998
199,926.0581250190735, 1069594, 1.6985259679400002
200,950.8116250038147, 1066581, 1.69374129381
201,924.1275410056114, 1072607, 1.70331064207
202,905.9340419769287, 1069594, 1.6985259679400002
203,917.6151250004768, 1069571, 1.69848944371
204,961.4760830402374, 1066546, 1.69368571346
205,924.3126249909401, 1069548, 1.69845291948
206,916.9179999828339, 1066535, 1.69366824535
207,924.6355419754982, 1066512, 1.6936317211199998
208,950.0270420312881, 1063499, 1.68884704699
209,916.1749579906464, 1072584, 1.70327411784
210,916.7387499809265, 1069571, 1.69848944371
211,921.0756669640541, 1069548, 1.69845291948
212,956.7582499980927, 1066535, 1.69366824535
213,909.1358330249786, 1069513, 1.69839733913
214,921.1894579529762, 1066512, 1.6936317211199998
215,922.8850829601288, 1066489, 1.6935951968899998
216,947.5627079606056, 1063476, 1.68881052276
217,914.5982080101967, 1069502, 1.69837987102
218,900.722541987896, 1066489, 1.6935951968899998
219,936.3886249661446, 1066466, 1.69355867266
220,937.1889590024948, 1063453, 1.68877399853
221,905.988166987896, 1066443, 1.69352214843
222,909.1000409722328, 1063430, 1.6887374742999999
223,910.7149170041084, 1063407, 1.6887009500699999
224,954.1650000214577, 1060394, 1.6839162759400002
225,910.425625026226, 1072549, 1.7032185374899997
226,903.5777500271797, 1069548, 1.69845291948
227,924.7898750305176, 1069525, 1.69841639525
228,968.105583012104, 1066512, 1.6936317211199998
229,938.0478749871254, 1069490, 1.6983608149
230,915.9465000033379, 1066489, 1.6935951968899998
231,918.471499979496, 1066466, 1.69355867266
232,965.2023749947548, 1063453, 1.68877399853
233,939.5913339853287, 1069479, 1.6983433467899998
234,910.2431660294533, 1066466, 1.69355867266
235,913.6108750104904, 1066443, 1.69352214843
236,939.1921669840813, 1063430, 1.6887374742999999
237,929.3046659827232, 1066420, 1.6934856242
238,925.2979999780655, 1063407, 1.6887009500699999
239,926.0217919945717, 1063384, 1.6886644258399999
240,966.7894169688225, 1060371, 1.6838797517100001
241,915.4973339438438, 1069456, 1.6983068225600002
242,916.570042014122, 1066443, 1.69352214843
243,926.2384159564972, 1066420, 1.6934856242
244,966.4605420231819, 1063407, 1.6887009500699999
245,936.0815830230713, 1066397, 1.69344909997
246,920.802874982357, 1063384, 1.6886644258399999
247,945.8004159927368, 1063361, 1.68862790161
248,1094.706915974617, 1060348, 1.68384322748
249,934.6178749799728, 1066362, 1.6933935196199998
250,935.1716670393944, 1063361, 1.68862790161
251,931.3206250071526, 1063338, 1.68859137738
252,941.1973329782486, 1060325, 1.68380670325
253,912.1175419688225, 1063315, 1.68855485315
254,906.0712500214577, 1060302, 1.68377017902
255,923.2032909989357, 1060279, 1.68373365479
256,955.7919999957085, 1057266, 1.6789489806600002
257,930.0366660356522, 1078805, 1.7131531280499999
258,926.894041955471, 1075816, 1.70840656616
259,924.0112500190735, 1075793, 1.70837004193
260,952.7735840082169, 1072780, 1.7035853678
261,926.0456250309944, 1075770, 1.7083335176999999
262,897.2390419840813, 1072757, 1.70354884357
263,909.5562079548836, 1072734, 1.7035123193400001
264,949.0351669788361, 1069721, 1.69872764521
265,937.0310420393944, 1075747, 1.7082969934699999
266,907.0967919826508, 1072734, 1.7035123193400001
267,917.7240839600563, 1072711, 1.7034757951100001
268,973.008082985878, 1069698, 1.69869112098
269,924.9036250114441, 1072676, 1.7034202147600002
270,918.3399170041084, 1069675, 1.69865459675
271,923.7243340015411, 1069652, 1.69861807252
272,972.2143340110779, 1066639, 1.69383339839
273,920.384249985218, 1075724, 1.7082604692399999
274,922.9674580097198, 1072711, 1.7034757951100001
275,921.4957500100136, 1072688, 1.7034392708800001
276,956.7769580483437, 1069663, 1.69863554063
277,938.3527919650078, 1072653, 1.70338369053
278,919.6399999856949, 1069652, 1.69861807252
279,920.1616669893265, 1069629, 1.6985815482899997
280,950.4212500452995, 1066616, 1.69379687416
281,905.2373750209808, 1072642, 1.70336622242
282,912.2849169969559, 1069629, 1.6985815482899997
283,925.1795420050621, 1069606, 1.6985450240600002
284,982.5632920265198, 1066593, 1.69376034993
285,936.6218330264091, 1069583, 1.69850849983
286,947.6604999899864, 1066570, 1.6937238257
287,1055.2274159789085, 1066547, 1.6936873014699998
288,903.4562079906464, 1063534, 1.68890262734
289,915.5579580068588, 1075701, 1.70822394501
290,948.9844169616699, 1072676, 1.7034202147600002
291,930.2739580273628, 1072665, 1.70340274665
292,936.600125014782, 1069652, 1.69861807252
293,922.4227080345154, 1072642, 1.70336622242
294,972.3209580183029, 1069629, 1.6985815482899997
295,909.668124973774, 1069594, 1.6985259679400002
296,916.3215420246124, 1066593, 1.69376034993
297,929.1625840067863, 1072619, 1.70332969819
298,942.7040410041809, 1069606, 1.6985450240600002
299,928.6111249923706, 1069583, 1.69850849983
300,921.1261249780655, 1066570, 1.6937238257
301,915.1625410318375, 1069560, 1.6984719756
302,968.9085409641266, 1066535, 1.69366824535
303,942.2206670045853, 1066524, 1.6936507772399998
304,915.7994579672813, 1063511, 1.68886610311
305,927.3378340005875, 1072596, 1.7032931739600001
306,962.0122910141945, 1069583, 1.69850849983
307,914.2025000452995, 1069560, 1.6984719756
308,906.5499579906464, 1066547, 1.6936873014699998
309,905.8576250076294, 1069525, 1.69841639525
310,950.4598339796066, 1066524, 1.6936507772399998
311,927.2907080054283, 1066501, 1.69361425301
312,912.6597090363503, 1063488, 1.68882957888
313,897.8655830025673, 1069514, 1.69839892714
314,954.9773750305176, 1066501, 1.69361425301
315,927.6999170184135, 1066478, 1.69357772878
316,904.208584010601, 1063465, 1.68879305465
317,933.1773750185966, 1066455, 1.69354120455
318,980.8964169621468, 1063442, 1.6887565304199998
319,925.4973329901695, 1063419, 1.6887200061899998
320,947.2820839881897, 1060394, 1.6839162759400002
321,955.5525830388069, 1075678, 1.70818742078
322,963.0304169654846, 1072665, 1.70340274665
323,917.8418750166893, 1072642, 1.70336622242
324,929.8823339939117, 1069629, 1.6985815482899997
325,928.8235830068588, 1072619, 1.70332969819
326,950.5132499933243, 1069606, 1.6985450240600002
327,922.0948330163956, 1069571, 1.69848944371
328,928.4819169640541, 1066570, 1.6937238257
329,926.6614999771118, 1072596, 1.7032931739600001
330,949.8251249790192, 1069583, 1.69850849983
331,902.8461660146713, 1069560, 1.6984719756
332,902.9039160013199, 1066547, 1.6936873014699998
333,909.8973330259323, 1069525, 1.69841639525
334,944.7309160232544, 1066524, 1.6936507772399998
335,935.2382910251617, 1066501, 1.69361425301
336,899.2690839767456, 1063488, 1.68882957888
337,914.6319159865379, 1072573, 1.7032566497300001
338,958.1729999780655, 1069560, 1.6984719756
339,927.2838749885559, 1069537, 1.69843545137
340,918.2249580025673, 1066524, 1.6936507772399998
341,925.1469169855118, 1069514, 1.69839892714
342,948.038792014122, 1066501, 1.69361425301
343,936.4958750009537, 1066466, 1.69355867266
344,915.6706669926643, 1063465, 1.68879305465
345,928.5751249790192, 1069479, 1.6983433467899998
346,927.7894169688225, 1066478, 1.69357772878
347,904.3984580039978, 1066455, 1.69354120455
348,910.6792500019073, 1063442, 1.6887565304199998
349,950.4806669950485, 1066432, 1.69350468032
350,950.3690829873085, 1063419, 1.6887200061899998
351,924.8269159793854, 1063396, 1.68868348196
352,921.3225419521332, 1060383, 1.6838988078300001
353,928.0378329753876, 1072550, 1.7032201255000001
354,934.2791249752045, 1069537, 1.69843545137
355,907.3487499952316, 1069514, 1.69839892714
